"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          76,      -5.431840926,      -5.986949864,      -5.938383994,      -4.902024895
          0,           0,          77,      -5.451547217,      -6.018118627,      -5.959836924,      -4.921910041
          0,           0,          78,      -5.471077584,      -6.049474462,      -5.980909885,      -4.941731315
          0,           0,          79,      -5.490432885,      -6.081108129,       -6.00177615,      -4.961473113
          0,           0,          80,      -5.509555375,      -6.112891346,      -6.022503826,       -4.98104072
          0,           0,          81,      -5.528411291,      -6.144521905,      -6.043094438,      -5.000366532
          0,           0,          82,      -5.547034537,      -6.175597438,      -6.063424849,      -5.019451301
          0,           0,          83,      -5.565495054,      -6.205731811,      -6.083326376,      -5.038337734
          0,           0,          84,      -5.583838472,      -6.234523529,      -6.102747519,      -5.057038251
          0,           0,          85,      -5.602109723,      -6.261713777,      -6.121797609,      -5.075579804
          0,           0,          86,      -5.620366847,      -6.287210512,      -6.140622982,      -5.094012366
          0,           0,          87,      -5.638687346,      -6.311143737,      -6.159291541,      -5.112410629
          0,           0,          88,      -5.657053677,      -6.333754666,      -6.178019192,      -5.130757963
          0,           0,          89,      -5.675468131,      -6.355324841,      -6.196746238,      -5.149073616
          0,           0,          90,      -5.693914078,      -6.375985368,       -6.21558488,      -5.167354343
          0,           0,          91,      -5.712355648,      -6.395910289,      -6.234585073,      -5.185588456
          0,           0,          92,      -5.730740548,      -6.415304434,      -6.253652343,      -5.203740245
          0,           0,          93,       -5.74898914,      -6.434249503,      -6.272761153,      -5.221743054
          0,           0,          94,      -5.767063008,      -6.452805731,       -6.29219892,      -5.239587622
          0,           0,          95,      -5.784875319,      -6.471144721,      -6.311713648,      -5.257202833
          0,           0,          96,      -5.802447288,      -6.489232929,      -6.331229325,      -5.274630292
          0,           0,          97,      -5.819818247,      -6.507037244,      -6.350963124,      -5.291912409
          0,           0,          98,      -5.836983636,      -6.524645798,      -6.371025788,      -5.309036199
          0,           0,          99,      -5.853968388,      -6.542332073,      -6.391391993,      -5.326029758
          0,           0,         100,      -5.870774028,      -6.560088586,      -6.412004922,      -5.342890251
          0,           0,         101,      -5.887426073,      -6.577795988,      -6.432858982,      -5.359633602
          0,           0,         102,        -5.9039409,      -6.595495508,      -6.453930412,      -5.376263799
          0,           0,         103,      -5.920359436,      -6.613228943,      -6.475068065,      -5.392814029
